fiscal_year,revenue,gross_profit,ebit,net_income,ebitda,interest_expense,income_tax,ebt,gross_margin_pct,ebit_margin_pct,tax_rate,depreciation_amortization,capex,free_cash_flow,current_assets,current_liabilities,total_debt,cash,total_equity,net_working_capital
2021,,,,,,,,,,,,,,,,,,,,
2022,198270000000.0,135620000000.0,83383000000.0,72738000000.0,100239000000.0,2063000000.0,10978000000.0,83716000000.0,0.684016744842891,0.4205527815604983,0.13113383343685794,14460000000.0,23886000000.0,65149000000.0,169684000000.0,95082000000.0,61270000000.0,13931000000.0,166542000000.0,74602000000.0
2023,211915000000.0,146052000000.0,88523000000.0,72361000000.0,105140000000.0,1968000000.0,16950000000.0,89311000000.0,0.6892008588349102,0.417728806361041,0.18978625253328257,13861000000.0,28107000000.0,59475000000.0,184257000000.0,104149000000.0,59965000000.0,34704000000.0,206223000000.0,80108000000.0
2024,245122000000.0,171008000000.0,109433000000.0,88136000000.0,133009000000.0,2935000000.0,19651000000.0,107787000000.0,0.6976444382797138,0.44644299573273716,0.18231326597827197,22287000000.0,44477000000.0,74071000000.0,159734000000.0,125286000000.0,67127000000.0,18315000000.0,268477000000.0,34448000000.0
2025,281724000000.0,193893000000.0,128528000000.0,101832000000.0,160165000000.0,2385000000.0,21795000000.0,123627000000.0,0.6882374238616519,0.4562195624085985,0.17629644009803683,34153000000.0,64551000000.0,71611000000.0,191131000000.0,141218000000.0,60588000000.0,30242000000.0,343479000000.0,49913000000.0
